account.continue	Continue
tutorial.warehouse-settings.steps.warehouse-settings.desc	Manage your warehouse and storage location preferences. Set default warehouses for receiving stock.
tutorial.warehouse-settings.steps.warehouse-settings.title	Warehouse Settings
tutorial.warehouse-settings.steps.ws-default.desc	Set your default warehouse for new inventory items and purchases. Items will be assigned here by default.
tutorial.warehouse-settings.steps.ws-default.title	Default Warehouse
tutorial.warehouse-settings.steps.ws-list.desc	View all your warehouses with item counts and stock values. Tap to manage each location.
tutorial.warehouse-settings.steps.ws-list.title	Warehouse List
tutorial.warehouse-settings.steps.ws-prefs.desc	Configure stock transfer settings — approval requirements, notification preferences, and default transfer reasons.
tutorial.warehouse-settings.steps.ws-prefs.title	Transfer Preferences
tutorial.warehouse-settings.subtitle	Configure storage locations
tutorial.warehouse-settings.title	Warehouse Settings
